datetime,consommation,fioul,solaire,gaz,date,heure,mois,jour_semaine,saison
2024-01-01 00:00:00+01:00,55239.0,96.0,0.0,1975.0,2024-01-01,0,1,0,hiver
2024-01-01 00:15:00+01:00,,,,,2024-01-01,0,1,0,hiver
2024-01-01 00:30:00+01:00,55167.0,98.0,0.0,1926.0,2024-01-01,0,1,0,hiver
2024-01-01 00:45:00+01:00,,,,,2024-01-01,0,1,0,hiver
2024-01-01 01:00:00+01:00,53183.0,96.0,0.0,1987.0,2024-01-01,1,1,0,hiver
2024-01-01 01:15:00+01:00,,,,,2024-01-01,1,1,0,hiver
2024-01-01 01:30:00+01:00,53165.0,97.0,0.0,1969.0,2024-01-01,1,1,0,hiver
2024-01-01 01:45:00+01:00,,,,,2024-01-01,1,1,0,hiver
2024-01-01 02:00:00+01:00,53088.0,97.0,0.0,2007.0,2024-01-01,2,1,0,hiver
2024-01-01 02:15:00+01:00,,,,,2024-01-01,2,1,0,hiver
2024-01-01 02:30:00+01:00,53077.0,97.0,0.0,1974.0,2024-01-01,2,1,0,hiver
2024-01-01 02:45:00+01:00,,,,,2024-01-01,2,1,0,hiver
2024-01-01 03:00:00+01:00,51532.0,97.0,0.0,2014.0,2024-01-01,3,1,0,hiver
2024-01-01 03:15:00+01:00,,,,,2024-01-01,3,1,0,hiver
2024-01-01 03:30:00+01:00,50252.0,97.0,0.0,1984.0,2024-01-01,3,1,0,hiver
2024-01-01 03:45:00+01:00,,,,,2024-01-01,3,1,0,hiver
2024-01-01 04:00:00+01:00,48961.0,96.0,0.0,1977.0,2024-01-01,4,1,0,hiver
2024-01-01 04:15:00+01:00,,,,,2024-01-01,4,1,0,hiver
2024-01-01 04:30:00+01:00,48216.0,96.0,0.0,1993.0,2024-01-01,4,1,0,hiver
2024-01-01 04:45:00+01:00,,,,,2024-01-01,4,1,0,hiver
2024-01-01 05:00:00+01:00,47454.0,97.0,0.0,1984.0,2024-01-01,5,1,0,hiver
2024-01-01 05:15:00+01:00,,,,,2024-01-01,5,1,0,hiver
2024-01-01 05:30:00+01:00,47758.0,96.0,0.0,1992.0,2024-01-01,5,1,0,hiver
2024-01-01 05:45:00+01:00,,,,,2024-01-01,5,1,0,hiver
2024-01-01 06:00:00+01:00,47491.0,96.0,0.0,1968.0,2024-01-01,6,1,0,hiver
2024-01-01 06:15:00+01:00,,,,,2024-01-01,6,1,0,hiver
2024-01-01 06:30:00+01:00,48051.0,96.0,0.0,2004.0,2024-01-01,6,1,0,hiver
2024-01-01 06:45:00+01:00,,,,,2024-01-01,6,1,0,hiver
2024-01-01 07:00:00+01:00,48055.0,97.0,0.0,1976.0,2024-01-01,7,1,0,hiver
2024-01-01 07:15:00+01:00,,,,,2024-01-01,7,1,0,hiver
2024-01-01 07:30:00+01:00,48249.0,96.0,0.0,1991.0,2024-01-01,7,1,0,hiver
2024-01-01 07:45:00+01:00,,,,,2024-01-01,7,1,0,hiver
2024-01-01 08:00:00+01:00,48227.0,95.0,0.0,1944.0,2024-01-01,8,1,0,hiver
2024-01-01 08:15:00+01:00,,,,,2024-01-01,8,1,0,hiver
2024-01-01 08:30:00+01:00,48346.0,96.0,3.0,1975.0,2024-01-01,8,1,0,hiver
2024-01-01 08:45:00+01:00,,,,,2024-01-01,8,1,0,hiver
2024-01-01 09:00:00+01:00,48382.0,95.0,113.0,1957.0,2024-01-01,9,1,0,hiver
2024-01-01 09:15:00+01:00,,,,,2024-01-01,9,1,0,hiver
2024-01-01 09:30:00+01:00,48863.0,96.0,504.0,1986.0,2024-01-01,9,1,0,hiver
2024-01-01 09:45:00+01:00,,,,,2024-01-01,9,1,0,hiver
2024-01-01 10:00:00+01:00,49628.0,94.0,1191.0,1985.0,2024-01-01,10,1,0,hiver
2024-01-01 10:15:00+01:00,,,,,2024-01-01,10,1,0,hiver
2024-01-01 10:30:00+01:00,50482.0,94.0,2045.0,1989.0,2024-01-01,10,1,0,hiver
2024-01-01 10:45:00+01:00,,,,,2024-01-01,10,1,0,hiver
2024-01-01 11:00:00+01:00,51155.0,94.0,3023.0,1991.0,2024-01-01,11,1,0,hiver
2024-01-01 11:15:00+01:00,,,,,2024-01-01,11,1,0,hiver
2024-01-01 11:30:00+01:00,51776.0,95.0,3977.0,1970.0,2024-01-01,11,1,0,hiver
2024-01-01 11:45:00+01:00,,,,,2024-01-01,11,1,0,hiver
2024-01-01 12:00:00+01:00,52276.0,94.0,4636.0,2027.0,2024-01-01,12,1,0,hiver
2024-01-01 12:15:00+01:00,,,,,2024-01-01,12,1,0,hiver
2024-01-01 12:30:00+01:00,52853.0,93.0,5184.0,2021.0,2024-01-01,12,1,0,hiver
2024-01-01 12:45:00+01:00,,,,,2024-01-01,12,1,0,hiver
2024-01-01 13:00:00+01:00,52639.0,94.0,5466.0,2033.0,2024-01-01,13,1,0,hiver
2024-01-01 13:15:00+01:00,,,,,2024-01-01,13,1,0,hiver
2024-01-01 13:30:00+01:00,51605.0,94.0,5414.0,2028.0,2024-01-01,13,1,0,hiver
2024-01-01 13:45:00+01:00,,,,,2024-01-01,13,1,0,hiver
2024-01-01 14:00:00+01:00,50399.0,93.0,5116.0,2007.0,2024-01-01,14,1,0,hiver
2024-01-01 14:15:00+01:00,,,,,2024-01-01,14,1,0,hiver
2024-01-01 14:30:00+01:00,50171.0,94.0,4652.0,1990.0,2024-01-01,14,1,0,hiver
2024-01-01 14:45:00+01:00,,,,,2024-01-01,14,1,0,hiver
2024-01-01 15:00:00+01:00,49965.0,93.0,4165.0,1980.0,2024-01-01,15,1,0,hiver
2024-01-01 15:15:00+01:00,,,,,2024-01-01,15,1,0,hiver
2024-01-01 15:30:00+01:00,49869.0,93.0,3360.0,2002.0,2024-01-01,15,1,0,hiver
2024-01-01 15:45:00+01:00,,,,,2024-01-01,15,1,0,hiver
2024-01-01 16:00:00+01:00,49257.0,92.0,2337.0,1984.0,2024-01-01,16,1,0,hiver
2024-01-01 16:15:00+01:00,,,,,2024-01-01,16,1,0,hiver
2024-01-01 16:30:00+01:00,49060.0,92.0,1344.0,1978.0,2024-01-01,16,1,0,hiver
2024-01-01 16:45:00+01:00,,,,,2024-01-01,16,1,0,hiver
2024-01-01 17:00:00+01:00,49326.0,89.0,524.0,2001.0,2024-01-01,17,1,0,hiver
2024-01-01 17:15:00+01:00,,,,,2024-01-01,17,1,0,hiver
2024-01-01 17:30:00+01:00,51272.0,89.0,75.0,2013.0,2024-01-01,17,1,0,hiver
2024-01-01 17:45:00+01:00,,,,,2024-01-01,17,1,0,hiver
2024-01-01 18:00:00+01:00,53452.0,90.0,1.0,2005.0,2024-01-01,18,1,0,hiver
2024-01-01 18:15:00+01:00,,,,,2024-01-01,18,1,0,hiver
2024-01-01 18:30:00+01:00,55033.0,90.0,0.0,2033.0,2024-01-01,18,1,0,hiver
2024-01-01 18:45:00+01:00,,,,,2024-01-01,18,1,0,hiver
2024-01-01 19:00:00+01:00,56331.0,90.0,0.0,1970.0,2024-01-01,19,1,0,hiver
2024-01-01 19:15:00+01:00,,,,,2024-01-01,19,1,0,hiver
2024-01-01 19:30:00+01:00,57040.0,90.0,0.0,2007.0,2024-01-01,19,1,0,hiver
2024-01-01 19:45:00+01:00,,,,,2024-01-01,19,1,0,hiver
2024-01-01 20:00:00+01:00,56625.0,91.0,0.0,1980.0,2024-01-01,20,1,0,hiver
2024-01-01 20:15:00+01:00,,,,,2024-01-01,20,1,0,hiver
2024-01-01 20:30:00+01:00,55924.0,91.0,0.0,1992.0,2024-01-01,20,1,0,hiver
2024-01-01 20:45:00+01:00,,,,,2024-01-01,20,1,0,hiver
2024-01-01 21:00:00+01:00,55094.0,91.0,0.0,2026.0,2024-01-01,21,1,0,hiver
2024-01-01 21:15:00+01:00,,,,,2024-01-01,21,1,0,hiver
2024-01-01 21:30:00+01:00,54431.0,91.0,0.0,2000.0,2024-01-01,21,1,0,hiver
2024-01-01 21:45:00+01:00,,,,,2024-01-01,21,1,0,hiver
2024-01-01 22:00:00+01:00,53539.0,92.0,0.0,2015.0,2024-01-01,22,1,0,hiver
2024-01-01 22:15:00+01:00,,,,,2024-01-01,22,1,0,hiver
2024-01-01 22:30:00+01:00,53992.0,92.0,0.0,1980.0,2024-01-01,22,1,0,hiver
2024-01-01 22:45:00+01:00,,,,,2024-01-01,22,1,0,hiver
2024-01-01 23:00:00+01:00,55377.0,92.0,0.0,1998.0,2024-01-01,23,1,0,hiver
2024-01-01 23:15:00+01:00,,,,,2024-01-01,23,1,0,hiver
2024-01-01 23:30:00+01:00,54910.0,92.0,0.0,1973.0,2024-01-01,23,1,0,hiver
2024-01-01 23:45:00+01:00,,,,,2024-01-01,23,1,0,hiver
2024-01-02 00:00:00+01:00,54441.0,91.0,0.0,2076.0,2024-01-02,0,1,1,hiver
2024-01-02 00:15:00+01:00,,,,,2024-01-02,0,1,1,hiver
2024-01-02 00:30:00+01:00,53459.0,92.0,0.0,2093.0,2024-01-02,0,1,1,hiver
2024-01-02 00:45:00+01:00,,,,,2024-01-02,0,1,1,hiver
